branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
llama3,llama3,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.","Os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá são:  * Técnico em Agropecuária (Manhã e Tarde) * Técnico em Mecânica (Noite, 4 semestres) * Técnico em Eletrotécnica (Noite, 4 semestres)",5.633,25.429,1710,83,0.6666666666666666,1.0000000000000002,0.9999999999,0.3333333333333333,0.7336714389550556
llama3,llama3,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.","A tabela apresenta as informações sobre os turnos de funcionamento dos cursos técnicos integrados. Segundo a tabela, os turnos de funcionamento dos cursos técnicos integrados ao ensino médio são:  * Manhã * Tarde * Noite (para alguns cursos)  Lembre-se de que essas informações estão presentes na tab",0.071,22.34,1630,89,0.8,0.973795372258932,0.9999999999,0.0,0.5536257907527006
llama3,llama3,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.",Técnico em Processos Gerenciais (Noite) e Técnico em Agropecuária (Manhã e Tarde).,0.037,21.47,1709,34,1.0,0.8970937836997259,0.9999999999,1.0,0.2216257766272616
llama3,llama3,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.","A resposta está no contexto! De acordo com a tabela, os cursos subsequentes ocorrem nos turnos:  * Manhã * Tarde * Noite",0.036,20.38,1616,35,0.0,0.9731791633921748,0.9999999999,0.0,0.4337502786717872
llama3,llama3,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.",Os cursos superiores de graduação ofertados no Campus Ibirubá são:  * Bacharelado em Engenharia Ambiental * Bacharelado em Engenharia Química * Licenciatura em Letras – Português/Inglês * Licenciatura em Química * Tecnologia em Análise e Desenvolvimento de Sistemas * Tecnologia em Processos Gerencia,0.038,23.718,1710,91,0.8333333333333334,1.0,0.9999999999,1.0,0.2240423762005819
llama3,llama3,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.",Não encontrei essa informação nos documentos.,0.039,20.569,1689,11,0.5,0.0,0.9999999999,0.5,0.1903017121947434
llama3,llama3,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.038,20.572,1693,11,0.5,0.0,0.0,0.5,0.1976044592026734
llama3,llama3,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.",Não encontrei essa informação nos documentos.,0.036,19.406,1605,11,1.0,0.0,0.9999999999,0.0,0.1938981344336444
llama3,llama3,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.",Não encontrei essa informação nos documentos.,0.037,19.327,1578,11,0.0,0.0,0.0,0.0,0.2043238214466643
llama3,llama3,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.",Não encontrei essa informação nos documentos.,0.036,19.298,1559,11,0.0,0.0,0.0,0.0,0.2045403025060196
llama3,llama3,Qual é o custo da inscrição para concorrer a uma vaga em curso de graduação?,"Se o candidato optar por concorrer via Exame de Seleção (prova), a taxa é de R$ 80,00. Caso a opção seja via nota do ENEM, a taxa é de R$ 20,00.","R$ 100,00.",0.04,18.305,1519,8,1.0,0.8084389351434322,0.0,0.0,0.2148272135000831
llama3,llama3,Como deve ser efetuado o pagamento da taxa de inscrição?,"O pagamento deve ser realizado por meio de boleto bancário gerado ao final da inscrição, pagável na rede bancária ou via internet banking.","O pagamento da taxa de inscrição pode ser realizado das 14h do dia 05 de setembro de 2025 às 23h59min do dia 22 de setembro de 2025. Além disso, a taxa de inscrição não será possível realizar após o prazo (dia 13 de outubro de 2025).",0.036,21.894,1551,77,1.0,0.9231874024704046,0.9999999999,1.0,0.2143869589418572
llama3,llama3,Até quando posso pagar a taxa de inscrição?,O boleto deve ser pago impreterivelmente até o prazo limite definido no cronograma oficial do edital correspondente.,"Até o dia 13 de outubro de 2025, pois não será possível realizar o pagamento da taxa de inscrição após o prazo.",0.035,16.51,1556,34,1.0,0.9523957334008936,0.9999999999,1.0,0.2147565204459902
llama3,llama3,Posso modificar os dados da minha inscrição (como a opção de curso ou campus) após concluí-la?,"Sim, no entanto, após a finalização da inscrição, qualquer alteração exige que o candidato realize uma nova inscrição dentro do prazo regulamentar para que os novos dados sejam computados.",Não encontrei essa informação nos documentos.,0.038,18.416,1517,11,0.0,0.0,0.9999999999,1.0,0.2042637652842807
llama3,llama3,É possível me inscrever em mais de um curso no mesmo edital do IFRS?,Não. É permitido realizar apenas uma única inscrição por candidato em cada edital.,Não encontrei essa informação nos documentos.,0.038,19.321,1572,11,0.0,0.0,0.9999999999,1.0,0.1988948170555712
llama3,llama3,Há devolução do valor pago na taxa de inscrição se eu desistir de participar?,"Não. O valor pago na taxa de inscrição não é reembolsável sob nenhuma circunstância, exceto se houver cancelamento do certame por parte do IFRS.","Sim, há devolução do valor pago da taxa de inscrição se o Processo Seletivo for cancelado ou para as/os candidatas/candidatos inscritos em algum curso que seja cancelada a oferta. (Ver item 6.9)",0.036,21.099,1575,56,1.0,0.929165211890974,0.9999999999,1.0,0.2299276855134921
