branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
qwen3,qwen3:0.6b,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.","Os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá são:   - **Técnico em Mecânica** (4 semestres, R$ 70,00)   - **Técnico em Eletrotécnica** (4 semestres, R$ 30,00)    Os outros cursos incluídos são:   - **Técnico em Administração** (R$ 70,00)   - **Técnico em Informática** (R",5.954,7.539,1779,382,0.25,0.9907317091080744,0.9999999999,0.0,0.44173533668097625
qwen3,qwen3:0.6b,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.",Os turnos de funcionamento dos cursos técnicos integrados são:   - **Técnico em Fabricação Mecânica**: Manhã e Tarde.   - **Técnico em Geoprocessamento**: Noite.   - **Técnico em Refrigação e Climatização**: Noite.    Não encontrei essa informação nos documentos.,0.069,5.363,1639,331,0.75,0.0,0.9999999999,1.0,0.4123831026906229
qwen3,qwen3:0.6b,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.",Os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá são:   - **Técnico em Mecânica Noite**   - **Técnico em Eletrotécnica Noite**   - **Técnico em Administração Tarde**   - **Técnico em Informática Tarde**    Os candidatos podem aproveitar as vagas oferecidas conforme a des,0.031,7.851,1777,557,0.6,0.9962352836281919,0.9999999999,1.0,0.5912874597427682
qwen3,qwen3:0.6b,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.",Responda: Noite.,0.032,4.482,1631,236,0.0,0.0,0.9999999999,0.0,0.705190129020139
qwen3,qwen3:0.6b,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.",Responda:   Cursos superiores de graduação ofertados no Campus Ibirubá:   - Bacharelado em Engenharia Ambiental   - Bacharelado em Engenharia Química   - Licenciatura em Letras - Português/Inglês,0.032,6.186,1791,381,0.6666666666666666,0.9999999999999999,0.9999999999,1.0,0.22529537254702964
qwen3,qwen3:0.6b,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.","A duração dos cursos de Agronomia e Engenharia Mecânica no campus é de 10 semestres* e 2 semestres*, respectivamente. Os turnos são de manhã e tarde para ambos os cursos.",0.034,7.832,1721,564,0.5,0.976199431019886,0.9999999999,0.5,nan
qwen3,qwen3:0.6b,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.032,7.967,1719,575,0.5,0.0,0.0,0.5,0.1976044592026734
qwen3,qwen3:0.6b,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.",Não encontrei essa informação nos documentos.,0.033,5.205,1655,301,1.0,0.0,0.9999999999,0.0,0.19389813443364445
qwen3,qwen3:0.6b,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.","R$30,00 (trinta reais).",0.031,4.664,1582,261,0.0,0.8358633580212138,0.0,0.0,0.2054749820164643
qwen3,qwen3:0.6b,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.",Responda à pergunta abaixo usando APENAS o contexto fornecido.    **Resposta:**   Não encontrei essa informação nos documentos.,0.03,11.578,1595,967,0.0,0.0,0.0,0.0,0.20242227851853734
qwen3,qwen3:0.6b,Qual é o custo da inscrição para concorrer a uma vaga em curso de graduação?,"Se o candidato optar por concorrer via Exame de Seleção (prova), a taxa é de R$ 80,00. Caso a opção seja via nota do ENEM, a taxa é de R$ 20,00.","O custo da inscrição para concorrer a uma vaga em curso de graduação é R$ 100,00.",0.031,4.056,1547,194,1.0,1.0,0.0,0.0,0.2112874969736609
qwen3,qwen3:0.6b,Como deve ser efetuado o pagamento da taxa de inscrição?,"O pagamento deve ser realizado por meio de boleto bancário gerado ao final da inscrição, pagável na rede bancária ou via internet banking.","A taxa de inscrição deve ser realizada até o dia 13 de outubro de 2025, conforme mencionado no contexto. O pagamento pode ser feito entre as 14h do dia 05 de setembro de 2025 às 23h59min do dia 22 de setembro de 2025.",0.033,4.582,1570,253,1.0,0.8838566224205631,0.9999999999,1.0,0.21440923241833307
qwen3,qwen3:0.6b,Até quando posso pagar a taxa de inscrição?,O boleto deve ser pago impreterivelmente até o prazo limite definido no cronograma oficial do edital correspondente.,"Responda: Até 13 de outubro de 2025, o candidato pode realizar o pagamento da taxa de inscrição no sistema bancário.",0.031,4.328,1609,252,1.0,0.9573925350323255,0.0,1.0,0.21632220521569695
qwen3,qwen3:0.6b,Posso modificar os dados da minha inscrição (como a opção de curso ou campus) após concluí-la?,"Sim, no entanto, após a finalização da inscrição, qualquer alteração exige que o candidato realize uma nova inscrição dentro do prazo regulamentar para que os novos dados sejam computados.",Não encontrei essa informação nos documentos.,0.032,3.691,1536,169,0.0,0.0,0.9999999999,1.0,0.2042637652842807
qwen3,qwen3:0.6b,É possível me inscrever em mais de um curso no mesmo edital do IFRS?,Não. É permitido realizar apenas uma única inscrição por candidato em cada edital.,Não encontrei essa informação nos documentos.,0.032,4.558,1600,247,0.0,0.0,0.9999999999,1.0,0.19889481705557124
qwen3,qwen3:0.6b,Há devolução do valor pago na taxa de inscrição se eu desistir de participar?,"Não. O valor pago na taxa de inscrição não é reembolsável sob nenhuma circunstância, exceto se houver cancelamento do certame por parte do IFRS.","Sim, há devolução do valor pago na taxa de inscrição se o Processo Seletivo for cancelado ou para as/os candidatas/candidatos inscritos em algum curso que seja cancelada a oferta.",0.032,4.281,1602,216,1.0,0.9299222265544266,0.9999999999,1.0,0.22775957962673293
