branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
llama3,llama3,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.","Técnico em Agropecuária (Manhã e Tarde) e Técnico em Mecânica (Noite), Técnico em Eletrotécnica (Noite).",30.354,24.022,1710,47,1.0,0.0,0.0,0.0,0.5998238776460014
llama3,llama3,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.","A resposta está presente nos documentos. De acordo com a tabela, os turnos de funcionamento dos cursos técnicos integrados ao ensino médio são:  * Técnico em Fabricação Mecânica: Manhã e Tarde * Técnico em Plásticos: Manhã e Tarde * Técnico em Química: Manhã e Tarde * Técnico em Administração: Manhã",0.077,26.413,1630,194,1.0,0.970514169542558,0.9999999999,0.0,0.3694531535776681
llama3,llama3,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.",Os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá são:  * Técnico em Agropecuária (Manhã e Tarde) * Técnico em Eletrotécnica (Noite) * Técnico em Mecânica (Noite)  Essas informações estão presentes na tabela fornecida.,0.042,23.203,1709,82,0.75,0.9999999999999999,0.9999999999,1.0,0.5966005954449876
llama3,llama3,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.","Em função do contexto fornecido, posso responder que:  * O curso Técnico em Cuidados de Idosos é oferecido no turno Noite. * O curso Técnico em Tradução e Interpretação de Libras é oferecido no turno Noite. * O curso Técnico em Modelagem do Vestuário é oferecido no turno Noite. * O curso Técnico em ",0.036,31.555,1616,318,1.0,0.9209994090433208,0.9999999999,0.0,0.3845557701157265
llama3,llama3,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.",A descrição da tabela encontra-se ao final da mesma.,0.039,21.04,1710,14,1.0,0.0,0.9999999999,1.0,0.20280933753398558
llama3,llama3,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.",Não encontrei essa informação nos documentos.,0.038,20.576,1689,11,0.0,0.0,0.0,0.5,0.19030171219474346
llama3,llama3,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.037,20.57,1693,11,0.5,0.0,0.0,0.5,0.1976044592026734
llama3,llama3,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.",Não encontrei essa informação nos documentos.,0.04,19.411,1605,11,0.0,0.0,0.9999999999,0.0,0.19389813443364445
llama3,llama3,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.",Não encontrei essa informação nos documentos.,0.037,19.334,1578,11,0.0,0.0,0.9999999999,0.0,0.20432382144666433
llama3,llama3,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.",Não encontrei essa informação nos documentos.,0.036,19.319,1559,11,0.0,0.0,0.0,0.0,0.20454030250601962
llama3,llama3,Qual é o custo da inscrição para concorrer a uma vaga em curso de graduação?,"Se o candidato optar por concorrer via Exame de Seleção (prova), a taxa é de R$ 80,00. Caso a opção seja via nota do ENEM, a taxa é de R$ 20,00.","R$ 100,00.",0.037,18.316,1519,8,1.0,0.8084389351434322,0.0,0.0,0.21482721350008316
llama3,llama3,Como deve ser efetuado o pagamento da taxa de inscrição?,"O pagamento deve ser realizado por meio de boleto bancário gerado ao final da inscrição, pagável na rede bancária ou via internet banking.",A taxa de inscrição pode ser realizada das 14h do dia 05 de setembro de 2025 às 23h59min do dia 22 de setembro de 2025. Não será possível realizar o pagamento da taxa de inscrição após o prazo.,0.04,21.274,1551,61,0.5,0.9187893466070608,0.9999999999,1.0,0.21344769812924846
llama3,llama3,Até quando posso pagar a taxa de inscrição?,O boleto deve ser pago impreterivelmente até o prazo limite definido no cronograma oficial do edital correspondente.,"Até o dia 13 de outubro de 2025, é possível realizar o pagamento da taxa de inscrição. Não será possível realizar o pagamento da taxa de inscrição após o prazo.",0.037,17.069,1556,45,1.0,0.9711141298471034,0.9999999999,1.0,0.21187706874724724
llama3,llama3,Posso modificar os dados da minha inscrição (como a opção de curso ou campus) após concluí-la?,"Sim, no entanto, após a finalização da inscrição, qualquer alteração exige que o candidato realize uma nova inscrição dentro do prazo regulamentar para que os novos dados sejam computados.",Não encontrei essa informação nos documentos.,0.037,18.562,1517,11,0.0,0.0,0.9999999999,1.0,0.2042637652842807
llama3,llama3,É possível me inscrever em mais de um curso no mesmo edital do IFRS?,Não. É permitido realizar apenas uma única inscrição por candidato em cada edital.,"Sim, é possível se inscrever em mais de um curso no mesmo edital do IFRS, desde que seja para cursos diferentes. Segundo o item 6.11 a 6.16, não será permitida a inscrição por pessoa em mais de um curso da mesma modalidade (EJA, Concomitante, Subsequente, Graduação).",0.038,22.147,1572,79,0.5,0.9891959833746516,0.9999999999,1.0,0.22341793382375935
