branch,modelo,pergunta,resposta_esperada,resposta_gerada,tempo_retrieval_s,tempo_llm_s,tokens_entrada,tokens_saida,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
qwen3,qwen3:0.6b,Quais são os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá?,"Os cursos técnicos integrados ao Ensino Médio ofertados no campus são o Técnico em Agropecuária, Técnico em Informática e Técnico em Mecânica.","Os cursos técnicos integrados ao Ensino Médio ofertados no Campus Ibirubá são:   - **Técnico em Mecânica Noite** (4 semestres, valor R$ 30,00)   - **Técnico em Eletrotécnica Noite** (4 semestres, valor R$ 30,00)    Os detalhes estão mencionados na tabela fornecida.",6.107,8.739,1779,521,0.7142857142857143,1.0000000000000002,0.0,0.0,0.3781447755390527
qwen3,qwen3:0.6b,Quais são os turnos de funcionamento dos cursos técnicos integrados?,"O funcionamento dos cursos técnicos integrados ocorre nos turnos da manhã e da tarde (turno integral), com duração prevista de 3 anos.",Os turnos de funcionamento dos cursos técnicos integrados são **Manhã e Tarde**.,0.067,6.677,1639,480,1.0,0.9698394433434033,0.9999999999,0.0,0.6094323576130602
qwen3,qwen3:0.6b,Quais são os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá?,"Na modalidade subsequente, estão disponíveis os cursos de Técnico em Eletrotécnica e Técnico em Mecânica.","Os cursos técnicos subsequentes ao Ensino Médio disponíveis no Campus Ibirubá são:   - **Técnico em Mecânica** (Manhã e Tarde, 3 semestres, 30 horas)   - **Técnico em Eletrotécnica** (Manhã e Tarde, 3 semestres, 30 horas)   - **Técnico em Agropecuária** (Manhã e Tarde, 3 semestres, 32 horas)    Os o",0.035,7.697,1777,550,0.42857142857142855,0.9962352836281919,0.9999999999,1.0,0.4457807018546005
qwen3,qwen3:0.6b,Em qual turno ocorrem as aulas dos cursos subsequentes?,"As aulas dos cursos técnicos subsequentes acontecem no turno da noite, com duração de 4 semestres.",Resposta: Manhã.,0.032,4.9,1631,286,0.0,0.0,0.9999999999,0.0,0.1989721308388357
qwen3,qwen3:0.6b,Quais são os cursos superiores de graduação ofertados no Campus Ibirubá?,"O campus oferece os seguintes cursos superiores de graduação: Bacharelado em Agronomia, Bacharelado em Engenharia Mecânica, Bacharelado em Ciência da Computação e Licenciatura em Matemática.",Os cursos superiores ofertados no Campus Ibirubá são:   - Bacharelado em Engenharia Ambiental   - Bacharelado em Engenharia Química   - Licenciatura em Letras – Português/Inglês   - Tecnologia em Análise e Desenvolvimento de Sistemas   - Tecnologia em Processos Gerenciais   - Bacharelado em Ciência ,0.033,6.34,1791,401,0.8333333333333334,0.9924700182864824,0.9999999999,1.0,0.37843921032998273
qwen3,qwen3:0.6b,Qual é a duração e os turnos dos cursos de Agronomia e Engenharia Mecânica no campus?,"O curso de Agronomia ocorre nos turnos da manhã e da tarde com duração de 10 semestres. O curso de Engenharia Mecânica é ofertado no turno da noite, também com duração de 10 semestres.","A duração dos cursos de Agronomia e Engenharia Mecânica no campus é de 7 semestres, com turnos em horário da tarde.",0.033,7.945,1721,582,0.25,0.976199431019886,0.0,0.5,0.2314741719126427
qwen3,qwen3:0.6b,Qual é a duração e os turnos de Ciência da Computação e Licenciatura em Matemática?,"O curso de Ciência da Computação ocorre à noite com duração de 9 semestres, enquanto a Licenciatura em Matemática também acontece no turno da noite com duração de 8 semestres.",Não encontrei essa informação nos documentos.,0.033,8.92,1719,677,0.5,0.0,0.0,0.5,0.1976044592026734
qwen3,qwen3:0.6b,Os cursos ofertados pelo IFRS Campus Ibirubá são pagos?,"Não. Todos os cursos oferecidos no IFRS são 100% gratuitos, não havendo cobrança de mensalidades ou taxas de matrícula.",Não encontrei essa informação nos documentos.,0.033,5.332,1655,318,1.0,0.0,0.9999999999,0.0,0.19389813443364445
qwen3,qwen3:0.6b,Qual o valor da taxa de inscrição para os cursos técnicos integrados?,"A taxa de inscrição para os cursos técnicos na modalidade integrada é de R$ 60,00.","R$ 30,00 (trinta reais).",0.032,4.676,1582,265,0.5,0.8397972245407057,0.9999999999,0.0,0.20636817237680974
qwen3,qwen3:0.6b,Quanto custa a inscrição para os cursos técnicos subsequentes?,"O custo é de R$ 20,00.","Responda: R$ 100,00.",0.035,4.965,1595,296,0.0,0.0,0.0,0.0,0.21474187792196836
qwen3,qwen3:0.6b,Qual é o custo da inscrição para concorrer a uma vaga em curso de graduação?,"Se o candidato optar por concorrer via Exame de Seleção (prova), a taxa é de R$ 80,00. Caso a opção seja via nota do ENEM, a taxa é de R$ 20,00.","A resposta é: R$ 100,00.",0.035,3.871,1547,179,1.0,0.8254121027015018,0.0,0.0,0.21367263913858656
